fold,epoch,tr_acc,tr_auc,tr_loss,vl_acc,vl_auc,vl_loss,lr
1,1,0.580858,0.544974,0.765326,0.552632,0.401961,0.687453,0.000001
1,1,0.580858,0.544974,0.765326,0.552632,0.401961,0.687453,0.000001
1,2,0.584158,0.623104,0.709123,0.552632,0.538515,0.769732,0.000003
1,2,0.584158,0.623104,0.709123,0.552632,0.538515,0.769732,0.000003
1,3,0.594059,0.619268,0.737796,0.552632,0.624650,0.816792,0.000005
1,3,0.594059,0.619268,0.737796,0.552632,0.624650,0.816792,0.000005
1,4,0.620462,0.662698,0.665598,0.552632,0.633754,0.710926,0.000006
1,4,0.620462,0.662698,0.665598,0.552632,0.633754,0.710926,0.000006
1,5,0.620462,0.624383,0.727024,0.605263,0.623950,0.671698,0.000008
1,5,0.620462,0.624383,0.727024,0.605263,0.623950,0.671698,0.000008
1,6,0.610561,0.645767,0.695230,0.618421,0.633754,0.672979,0.000010
1,6,0.610561,0.645767,0.695230,0.618421,0.633754,0.672979,0.000010
1,7,0.640264,0.681702,0.657636,0.513158,0.626751,0.784812,0.000010
1,7,0.640264,0.681702,0.657636,0.513158,0.626751,0.784812,0.000010
1,8,0.676568,0.726675,0.629553,0.657895,0.654762,0.664418,0.000010
1,8,0.676568,0.726675,0.629553,0.657895,0.654762,0.664418,0.000010
1,9,0.627063,0.664594,0.662249,0.565789,0.638655,0.866124,0.000010
1,9,0.627063,0.664594,0.662249,0.565789,0.638655,0.866124,0.000010
1,10,0.627063,0.679453,0.671183,0.618421,0.663165,0.690115,0.000010
1,10,0.627063,0.679453,0.671183,0.618421,0.663165,0.690115,0.000010
1,11,0.650165,0.726808,0.614623,0.671053,0.675070,0.652094,0.000010
1,11,0.650165,0.726808,0.614623,0.671053,0.675070,0.652094,0.000010
1,12,0.699670,0.735185,0.597123,0.578947,0.670168,0.778157,0.000010
1,12,0.699670,0.735185,0.597123,0.578947,0.670168,0.778157,0.000010
1,13,0.650165,0.703880,0.650602,0.618421,0.719188,0.670064,0.000009
1,13,0.650165,0.703880,0.650602,0.618421,0.719188,0.670064,0.000009
1,14,0.719472,0.774427,0.566848,0.736842,0.801821,0.559131,0.000009
1,14,0.719472,0.774427,0.566848,0.736842,0.801821,0.559131,0.000009
1,15,0.745875,0.812787,0.543823,0.710526,0.783613,0.579397,0.000009
1,15,0.745875,0.812787,0.543823,0.710526,0.783613,0.579397,0.000009
1,16,0.811881,0.865300,0.459647,0.684211,0.774510,0.739800,0.000009
1,16,0.811881,0.865300,0.459647,0.684211,0.774510,0.739800,0.000009
1,17,0.864686,0.939859,0.335240,0.750000,0.859944,0.517148,0.000009
1,17,0.864686,0.939859,0.335240,0.750000,0.859944,0.517148,0.000009
1,18,0.904290,0.959612,0.261158,0.736842,0.888655,0.489290,0.000008
1,18,0.904290,0.959612,0.261158,0.736842,0.888655,0.489290,0.000008
1,19,0.953795,0.978748,0.187919,0.684211,0.852241,0.980477,0.000008
1,19,0.953795,0.978748,0.187919,0.684211,0.852241,0.980477,0.000008
1,20,0.963696,0.991534,0.121351,0.723684,0.889356,0.569708,0.000008
1,20,0.963696,0.991534,0.121351,0.723684,0.889356,0.569708,0.000008
1,21,0.993399,0.998721,0.057585,0.697368,0.875350,0.680557,0.000008
1,21,0.993399,0.998721,0.057585,0.697368,0.875350,0.680557,0.000008
1,22,0.986799,0.997840,0.058499,0.723684,0.861345,0.755042,0.000007
1,22,0.986799,0.997840,0.058499,0.723684,0.861345,0.755042,0.000007
1,23,0.996700,0.999868,0.032085,0.644737,0.896359,0.851074,0.000007
1,23,0.996700,0.999868,0.032085,0.644737,0.896359,0.851074,0.000007
2,1,0.561056,0.516049,0.904839,0.552632,0.502801,0.755968,0.000001
2,1,0.561056,0.516049,0.904839,0.552632,0.502801,0.755968,0.000001
