epoch,set,Loss,ACC,SEN,SPE,AUC
1,train,0.6713,0.5851,0.2432,0.7545,0.5275
1,val,0.6456,0.6667,0.0000,1.0000,0.5156
2,train,0.6513,0.6657,0.0000,0.9955,0.4638
2,val,0.6375,0.6667,0.0000,1.0000,0.5088
3,train,0.6392,0.6687,0.0000,1.0000,0.5088
3,val,0.6369,0.6667,0.0000,1.0000,0.6064
4,train,0.6498,0.6687,0.0000,1.0000,0.4512
4,val,0.6366,0.6667,0.0000,1.0000,0.5137
5,train,0.6424,0.6687,0.0000,1.0000,0.4838
5,val,0.6365,0.6667,0.0000,1.0000,0.5156
6,train,0.6328,0.6687,0.0000,1.0000,0.5399
6,val,0.6365,0.6667,0.0000,1.0000,0.6094
7,train,0.6468,0.6687,0.0000,1.0000,0.4703
7,val,0.6365,0.6667,0.0000,1.0000,0.4844
8,train,0.6368,0.6687,0.0000,1.0000,0.5278
8,val,0.6365,0.6667,0.0000,1.0000,0.5312
9,train,0.6317,0.6687,0.0000,1.0000,0.5452
9,val,0.6368,0.6667,0.0000,1.0000,0.4844
10,train,0.6413,0.6687,0.0000,1.0000,0.5042
10,val,0.6365,0.6667,0.0000,1.0000,0.4980
