fold,epoch,tr_acc,tr_auc,tr_loss,vl_acc,vl_auc,vl_loss,lr
1,1,0.498350,0.495326,0.802375,0.552632,0.623249,0.702524,0.000001
1,2,0.564356,0.600529,0.716312,0.578947,0.607843,0.721730,0.000002
1,3,0.574257,0.609259,0.730580,0.605263,0.607843,0.723817,0.000003
1,4,0.561056,0.556173,0.772997,0.578947,0.612745,0.765220,0.000004
1,5,0.630363,0.652160,0.703729,0.618421,0.626050,0.672939,0.000005
1,6,0.580858,0.599515,0.730070,0.513158,0.616246,0.831298,0.000006
1,7,0.557756,0.596164,0.759803,0.618421,0.628151,0.733096,0.000006
1,8,0.613861,0.644621,0.706864,0.552632,0.723389,0.689766,0.000007
1,9,0.613861,0.636684,0.704391,0.631579,0.655462,0.668891,0.000008
1,10,0.600660,0.645062,0.685021,0.592105,0.657563,0.722640,0.000009
1,11,0.636964,0.683554,0.659836,0.605263,0.702381,0.713318,0.000010
1,12,0.653465,0.711420,0.646141,0.644737,0.824930,0.629861,0.000010
1,13,0.679868,0.756261,0.591391,0.723684,0.854342,0.532787,0.000010
1,14,0.739274,0.816667,0.529642,0.697368,0.907563,0.491596,0.000010
1,15,0.755776,0.831658,0.530613,0.710526,0.894258,0.658765,0.000010
1,16,0.775578,0.869709,0.446764,0.750000,0.890756,0.544181,0.000010
1,17,0.768977,0.845326,0.515373,0.736842,0.829132,0.726087,0.000010
1,18,0.841584,0.911023,0.378515,0.828947,0.904062,0.399427,0.000010
1,19,0.858086,0.940829,0.313037,0.736842,0.885154,0.570880,0.000010
1,20,0.851485,0.932760,0.333827,0.671053,0.927171,0.674968,0.000010
1,21,0.894389,0.963845,0.252208,0.750000,0.894958,0.650505,0.000010
1,22,0.841584,0.924824,0.377529,0.657895,0.827031,1.189973,0.000010
1,23,0.867987,0.948060,0.295238,0.723684,0.882353,0.729563,0.000010
2,1,0.587459,0.571649,0.753192,0.552632,0.607143,0.728019,0.000001
2,2,0.617162,0.654541,0.684240,0.552632,0.602241,0.671824,0.000002
2,3,0.630363,0.648457,0.694666,0.552632,0.603641,0.680360,0.000003
2,4,0.574257,0.599735,0.728321,0.565789,0.610644,0.659296,0.000004
2,5,0.623762,0.625485,0.712860,0.592105,0.615546,0.661882,0.000005
2,6,0.587459,0.602381,0.726127,0.605263,0.624650,0.662448,0.000006
2,7,0.584158,0.620414,0.694856,0.605263,0.638655,0.644925,0.000006
2,8,0.577558,0.600132,0.728759,0.539474,0.631653,0.783648,0.000007
2,9,0.627063,0.643915,0.686124,0.552632,0.656162,0.779112,0.000008
2,10,0.613861,0.625661,0.716590,0.565789,0.686275,0.663698,0.000009
2,11,0.564356,0.594224,0.756649,0.644737,0.724790,0.606174,0.000010
2,12,0.617162,0.670547,0.681394,0.605263,0.768207,0.688863,0.000010
2,13,0.646865,0.713713,0.632386,0.736842,0.904762,0.513480,0.000010
2,14,0.726073,0.789727,0.563848,0.842105,0.900560,0.471617,0.000010
2,15,0.735974,0.779982,0.586251,0.815789,0.912465,0.424213,0.000010
2,16,0.739274,0.809259,0.550580,0.855263,0.922269,0.384395,0.000010
2,17,0.749175,0.818871,0.532936,0.855263,0.932773,0.360047,0.000010
2,18,0.821782,0.889771,0.415881,0.763158,0.935574,0.440951,0.000010
2,19,0.825083,0.911993,0.380499,0.842105,0.926471,0.483180,0.000010
2,20,0.788779,0.851587,0.497922,0.578947,0.932773,1.237803,0.000010
2,21,0.881188,0.930511,0.339726,0.894737,0.925070,0.375677,0.000010
2,22,0.884488,0.955423,0.274775,0.697368,0.931373,1.016325,0.000010
2,23,0.904290,0.958466,0.264273,0.763158,0.924370,0.556505,0.000010
2,24,0.871287,0.952778,0.276859,0.802632,0.926471,0.575239,0.000009
2,25,0.904290,0.975750,0.200655,0.789474,0.925770,0.665070,0.000009
2,26,0.904290,0.966446,0.240000,0.855263,0.904762,0.458849,0.000009
3,1,0.541254,0.564727,0.750939,0.552632,0.734594,0.703159,0.000001
3,2,0.574257,0.557143,0.756575,0.684211,0.744398,0.594495,0.000002
3,3,0.537954,0.509656,0.800405,0.671053,0.750700,0.615044,0.000003
3,4,0.531353,0.537743,0.788144,0.684211,0.753501,0.605802,0.000004
3,5,0.567657,0.578175,0.718246,0.644737,0.750000,0.656161,0.000005
3,6,0.547855,0.612302,0.706068,0.671053,0.761905,0.592799,0.000006
3,7,0.514851,0.537963,0.768747,0.684211,0.771008,0.591454,0.000006
3,8,0.531353,0.542769,0.755007,0.631579,0.771008,0.638238,0.000007
3,9,0.557756,0.591182,0.739138,0.671053,0.775910,0.567396,0.000008
3,10,0.561056,0.574780,0.760758,0.671053,0.782213,0.564313,0.000009
3,11,0.561056,0.615300,0.722697,0.578947,0.876751,0.630952,0.000010
3,12,0.570957,0.598413,0.722552,0.736842,0.845238,0.543127,0.000010
3,13,0.636964,0.675573,0.661508,0.723684,0.843838,0.518443,0.000010
3,14,0.607261,0.621208,0.713884,0.671053,0.906162,0.585383,0.000010
3,15,0.745875,0.771825,0.584815,0.828947,0.925070,0.457384,0.000010
3,16,0.739274,0.795988,0.586128,0.697368,0.908964,0.542537,0.000010
3,17,0.752475,0.811640,0.555020,0.802632,0.887955,0.424042,0.000010
